co2,expireAt._nanoseconds,expireAt._seconds,humidity,iaqi.e_score,iaqi.i_score,iaqi.m_score,iaqi.primary_grade,iaqi.sub_level,iaqiScore,k,macAddress,nox,pm25,temp,timestamp._nanoseconds,timestamp._seconds,tvoc
885,560000000,1778554932,41.2342529296875,,0.397,0.713,보통,,0.713,,d83bda1d5960,1,7,25.03204345703125,651000000,1775962932,141.4166717529297
885.6666870117188,510000000,1778554938,41.23711395263672,,0.398,0.714,보통,,0.714,,d83bda1d5960,1,7.166666507720947,25.03337860107422,600000000,1775962938,141.3333282470703
886,487000000,1778554944,41.23711395263672,,0.398,0.715,보통,,0.715,,d83bda1d5960,1,7,25.03337860107422,578000000,1775962944,141.25
886.6666870117188,603000000,1778554950,41.24951171875,,0.398,0.717,보통,,0.717,,d83bda1d5960,1,7.166666507720947,25.03070831298828,692000000,1775962950,140.9166717529297
887.3333129882812,282000000,1778554957,41.27049255371094,,0.398,0.718,보통,,0.718,,d83bda1d5960,1,7,25.029373168945312,372000000,1775962957,140.9166717529297
887.6666870117188,769000000,1778554962,41.321990966796875,,0.397,0.719,보통,,0.719,,d83bda1d5960,1,7,25.045394897460938,860000000,1775962962,140.75
888,480000000,1778554969,41.332481384277344,,0.397,0.72,보통,,0.72,,d83bda1d5960,1,7,25.045394897460938,571000000,1775962969,140.5833282470703
888,111000000,1778554975,41.32294464111328,,0.397,0.72,보통,,0.72,,d83bda1d5960,1,6.666666507720947,25.017356872558594,201000000,1775962975,140.4166717529297
888.3333129882812,256000000,1778554981,41.319129943847656,,0.397,0.721,보통,,0.721,,d83bda1d5960,1,6.5,25.026702880859375,346000000,1775962981,140.4166717529297
888.3333129882812,159000000,1778554987,41.352508544921875,,0.396,0.721,보통,,0.721,,d83bda1d5960,1,6.5,25.028038024902344,251000000,1775962987,140.5
888.3333129882812,173000000,1778554993,41.35441589355469,,0.396,0.721,보통,,0.721,,d83bda1d5960,1,6.833333492279053,25.02269744873047,263000000,1775962993,140.6666717529297
887.6666870117188,182000000,1778554999,41.36395263671875,,0.396,0.719,보통,,0.719,,d83bda1d5960,1,6.833333492279053,25.024032592773438,273000000,1775962999,140.9166717529297
887,140000000,1778555005,41.3868408203125,,0.395,0.718,보통,,0.718,,d83bda1d5960,1,7,25.0213623046875,233000000,1775963005,141.3333282470703
886.3333129882812,244000000,1778555011,41.39637756347656,,0.394,0.716,보통,,0.716,,d83bda1d5960,1,7.333333492279053,25.04138946533203,334000000,1775963011,141.8333282470703
886.3333129882812,925000000,1778555017,41.40496063232422,,0.394,0.716,보통,,0.716,,d83bda1d5960,1,7.5,25.046730041503906,18000000,1775963018,142.4166717529297
886.6666870117188,133000000,1778555024,41.39160919189453,,0.394,0.717,보통,,0.717,,d83bda1d5960,1,7.5,25.03337860107422,229000000,1775963024,143.1666717529297
887.3333129882812,59000000,1778555031,41.40019226074219,,0.395,0.718,보통,,0.718,,d83bda1d5960,1,7.5,25.02002716064453,150000000,1775963031,144.0833282470703
888,670000000,1778555036,41.441200256347656,,0.394,0.72,보통,,0.72,,d83bda1d5960,1,7.5,25.014686584472656,761000000,1775963036,145.3333282470703
888.6666870117188,789000000,1778555042,41.48602294921875,,0.393,0.722,보통,,0.722,,d83bda1d5960,1,7.333333492279053,25.0213623046875,880000000,1775963042,146.75
889,593000000,1778555049,41.505096435546875,,0.393,0.723,보통,,0.723,,d83bda1d5960,1,7.166666507720947,25.03204345703125,686000000,1775963049,148.4166717529297
889.3333129882812,99000000,1778555055,41.52893829345703,,0.393,0.723,보통,,0.723,,d83bda1d5960,1,7.166666507720947,25.024032592773438,190000000,1775963055,150.25
890,232000000,1778555061,41.53370666503906,,0.393,0.725,보통,,0.725,,d83bda1d5960,1,7.333333492279053,25.025367736816406,323000000,1775963061,152.0833282470703
891.3333129882812,56000000,1778555067,41.532752990722656,,0.394,0.728,보통,,0.728,,d83bda1d5960,1,7,25.02269744873047,146000000,1775963067,154
892.6666870117188,115000000,1778555073,41.555641174316406,,0.394,0.732,보통,,0.732,,d83bda1d5960,1,7,25.008010864257812,206000000,1775963073,156
894,104000000,1778555079,41.5699462890625,,0.395,0.735,보통,,0.735,,d83bda1d5960,1,6.833333492279053,24.997329711914062,195000000,1775963079,158
895.3333129882812,883000000,1778555085,41.60237121582031,,0.395,0.738,보통,,0.738,,d83bda1d5960,1,6.833333492279053,25.01068115234375,974000000,1775963085,160
